"","elife_institution","THE_rank"
"6171","Loewe Center for Synthetic Microbiology","Standard/Unranked/Unknown"
"6172","Argentinean National Council of Scientific and Technical Research (CONICET)","Standard/Unranked/Unknown"
"6173","People's Hospital of Ningxia Hui Autonomous Regions, The First Affiliated Hospital of Northwest University for Nationalities","Standard/Unranked/Unknown"
"6174","Museo Nacional de Ciencias Naturales (CSIC)","Standard/Unranked/Unknown"
"6175","Universidad Pontificia Comillas","Standard/Unranked/Unknown"
"6176","Thadomal shahani Engineering College","Standard/Unranked/Unknown"
"6177","national institute of hydrology","Standard/Unranked/Unknown"
"6178","The University of Tokyo Graduate School of Medicine","Standard/Unranked/Unknown"
"6179","University Hopsitals of Wuerzburg","Standard/Unranked/Unknown"
"6180","Virginia Commonwealth University Medical Center","Standard/Unranked/Unknown"
"6181","Feinstein Institute for Medical Research","Standard/Unranked/Unknown"
"6182","Hospital del Mar","Standard/Unranked/Unknown"
"6183","Nanjing Drum Tower Hospital","Standard/Unranked/Unknown"
"6184","Centro de Estudios Científicos","Standard/Unranked/Unknown"
"6185","State Key Laboratory of Plant Genomics","Standard/Unranked/Unknown"
"6186","Universitätsklinikum Carl Gustav Carus","Standard/Unranked/Unknown"
"6187","University of Tor Vergata","Standard/Unranked/Unknown"
"6188","Universidad Autonoma de San Luis Potosi","Standard/Unranked/Unknown"
"6189","General Hospital of Shenyang Military Area","Standard/Unranked/Unknown"
"6190","West China Hospital of Sichuan University","Standard/Unranked/Unknown"
"6191","Faculty of Medicine, The University of Tokyo","Standard/Unranked/Unknown"
"6192","IIBM CSIC","Standard/Unranked/Unknown"
"6193","Institute of Nature Conservation, Polish Academy of Sciences","Standard/Unranked/Unknown"
"6194","Kangwon National University","Standard/Unranked/Unknown"
"6195","Tianjin Medical University General Hospital","Standard/Unranked/Unknown"
"6196","INSERM - University Bordeaux","Standard/Unranked/Unknown"
"6197","Eagle Institute of Molecular Medicine","Standard/Unranked/Unknown"
"6198","INDEPENDENT","Standard/Unranked/Unknown"
"6199","CRUK Beatson Institute","Standard/Unranked/Unknown"
"6200","Hormel institute","Standard/Unranked/Unknown"
"6201","Faculdade de Ciencias da Universidade de Lisboa","Standard/Unranked/Unknown"
"6202","Charité Berlin","Standard/Unranked/Unknown"
"6203","Zhongshan Ophthalmic Center","Standard/Unranked/Unknown"
"6204","Wistar","Standard/Unranked/Unknown"
"6205","Centre de Recherche en Neuroscience de Lyon (CRNL)","Standard/Unranked/Unknown"
"6206","Eberhard-Karls University","Standard/Unranked/Unknown"
"6207","James A. Haley Veterans Hospital, University of South Florida","Standard/Unranked/Unknown"
"6208","Post graduate Institute of Science","Standard/Unranked/Unknown"
"6209","Department of Gastroenterology, Fengxian Hospital,","Standard/Unranked/Unknown"
"6210","Institut des Sciences Cognitives - CNRS","Standard/Unranked/Unknown"
"6211","Instituto de Biologia Molecular e Celular - IBMC, Universidade do Porto","Standard/Unranked/Unknown"
"6212","Centre for molecular medicine and therapeutics","Standard/Unranked/Unknown"
"6213","Lieber Institute of Brain Development","Standard/Unranked/Unknown"
"6214","BakerIDI Heart and Diabetes Institute","Standard/Unranked/Unknown"
"6215","Institute of Botany, the Chinese Academy of Sciences (CAS)","Standard/Unranked/Unknown"
"6216","NHLBI","Standard/Unranked/Unknown"
"6217","Donders Institute for Brain Cognition and Behaviour","Standard/Unranked/Unknown"
"6218","I3S/IPATIMUP","Standard/Unranked/Unknown"
"6219","CEV, SA","Standard/Unranked/Unknown"
"6220","Japan Tobacco Inc.","Standard/Unranked/Unknown"
"6221","Institute of Marine Sciences (CSIC)","Standard/Unranked/Unknown"
"6222","Umm al-Qura University","Standard/Unranked/Unknown"
"6223","Gallaudet University","Standard/Unranked/Unknown"
"6224","Monell Chemical Senses Center","Standard/Unranked/Unknown"
"6225","Max-Delbrück-Center Berlin-Buch","Standard/Unranked/Unknown"
"6226","Instituto Cavanilles, Universidad de Valencia, y Unidad Mixta de Esclerosis Múltiple y Neurorregeneración, CIBERNED","Standard/Unranked/Unknown"
"6227","Scientific Institute IRCCS E. MEDEA","Standard/Unranked/Unknown"
"6228","Biological Research Center of HAS","Standard/Unranked/Unknown"
"6229","Centre de Recherche Cerveau et Cognition, CNRS UMR 5549","Standard/Unranked/Unknown"
"6230","IIT BOMBAY","Standard/Unranked/Unknown"
"6231","COMSATS Institute of Information Technology","Standard/Unranked/Unknown"
"6232","UNC Charlotte","Standard/Unranked/Unknown"
"6233","Insutute of Infection and Global Health","Standard/Unranked/Unknown"
"6234","Sapien Labs","Standard/Unranked/Unknown"
"6235","Walter & Eliza Hall Institute of Medical Research","Standard/Unranked/Unknown"
"6236","CEA, DRF/I2BM, NeuroSpin; INSERM, U992, Cognitive Neuroimaging Unit","Standard/Unranked/Unknown"
"6237","CNRS, Université Paris Descartes","Standard/Unranked/Unknown"
"6238","Philipp University of Marburg","Standard/Unranked/Unknown"
"6239","Neuroscience Research Institute","Standard/Unranked/Unknown"
"6240","Research Institute for National Health and Family Planning Commission","Standard/Unranked/Unknown"
"6241","Division of Histology & Embryology","Standard/Unranked/Unknown"
"6242","INSERM U5309 CNRS UMR 1209","Standard/Unranked/Unknown"
"6243","School of Medicine, Zhejiang University","Standard/Unranked/Unknown"
"6244","University Hospital of Nancy","Standard/Unranked/Unknown"
"6245","Max Delbruck Centrum","Standard/Unranked/Unknown"
"6246","Childrens Hospital Los Angeles","Standard/Unranked/Unknown"
"6247","CIMH","Standard/Unranked/Unknown"
"6248","Cenytro de Investigación y de Estudios Avanzados","Standard/Unranked/Unknown"
"6249","Genoscope-CEA","Standard/Unranked/Unknown"
"6250","School of Medicine, Shanghai Jiao Tong University","Standard/Unranked/Unknown"
"6251","Toranomon Hospital","Standard/Unranked/Unknown"
"6252","Medical Faculty Mannheim, University of Heidelberg","Standard/Unranked/Unknown"
"6253","Children's National Health System","Standard/Unranked/Unknown"
"6254","Neuroscience Institute, CNR and Dept. Biomedical Science, University of Padova","Standard/Unranked/Unknown"
"6255","Centre of Marine Sciences (CCMAR)","Standard/Unranked/Unknown"
"6256","City University of New York, Lehman College","Standard/Unranked/Unknown"
"6257","Helmholtz Center for Infection Research","Standard/Unranked/Unknown"
"6258","Institution of biology Leiden","Standard/Unranked/Unknown"
"6259","Yale University/Kenya Medical Research Institute","Standard/Unranked/Unknown"
"6260","CRO Aviano National Cancer Institute","Standard/Unranked/Unknown"
"6261","Childrens University Hospital Zurich","Standard/Unranked/Unknown"
"6262","The State Key Laboratory of Oncology in South China","Standard/Unranked/Unknown"
"6263","Guys and St Thomas Hospital","Standard/Unranked/Unknown"
"6264","Houston Methodist Research Institute, Weill Cornell Medicine, Cornell University","Standard/Unranked/Unknown"
"6265","WT/MRC Cambridge Stem Cell Institute","Standard/Unranked/Unknown"
"6266","Brigham and Women's Hospital/Harvard Medical School","Standard/Unranked/Unknown"
"6267","Institut d'Investigacions Biomèdiques August Pi i Sunyer","Standard/Unranked/Unknown"
"6268","School of Basic Medical Sciences, Southern Medical University, PR China","Standard/Unranked/Unknown"
"6269","The Second Clinical Medical College (Shenzhen People's Hospital), Ji'nan University","Standard/Unranked/Unknown"
"6270","METU","Standard/Unranked/Unknown"
"6271","Institute for Horticultural Plants","Standard/Unranked/Unknown"
"6272","Tongji Medical College of Huazhong University of Science and Technology","Standard/Unranked/Unknown"
"6273","Faculty of Geography and Regional Studies, University of Warsaw","Standard/Unranked/Unknown"
"6274","Yonsei University Health System","Standard/Unranked/Unknown"
"6275","Centro de Edafología y Biología Aplicada del Segura","Standard/Unranked/Unknown"
"6276","EPHE","Standard/Unranked/Unknown"
"6277","Pontificia Universidad Catolica de Chile","Standard/Unranked/Unknown"
"6278","Xiangya Hospital Central South University","Standard/Unranked/Unknown"
"6279","Servizo Galego de Saúde (SERGAS)/Instituto de Investigación Sanitaria de Santiago de Compostela  (IDIS)","Standard/Unranked/Unknown"
"6280","University of Puerto Rico at Río Piedras","Standard/Unranked/Unknown"
"6281","CINVESTAV-IPN","Standard/Unranked/Unknown"
"6282","INSERM UMR 1087 / CNRS UMR 6291","Standard/Unranked/Unknown"
"6283","Tufts University Sackler School","Standard/Unranked/Unknown"
"6284","Zhongshan Hospital, Fudan University","Standard/Unranked/Unknown"
"6285","Fengxian Hospital, Southern Medical University, Shanghai, China","Standard/Unranked/Unknown"
"6286","Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, China.","Standard/Unranked/Unknown"
"6287","University of Natural Resources and Life Science, BOKU Vienna,","Standard/Unranked/Unknown"
"6288","U.C. Davis","Standard/Unranked/Unknown"
"6289","Institute of Biomedicine of Seville (IBIS), University Hospital Virgen del Rocío","Standard/Unranked/Unknown"
"6290","Università degli studi di Udine","Standard/Unranked/Unknown"
"6291","CEA, INSERM, Université Paris-Sud, Université Paris-Saclay","Standard/Unranked/Unknown"
"6292","Université Paris Sud","Standard/Unranked/Unknown"
"6293","Institute of Experimental Medicine ASCR","Standard/Unranked/Unknown"
"6294","The first affiliated hospital of Sun Yat-sen university","Standard/Unranked/Unknown"
"6295","CRBM-UMR5237-CNRS/Univ. Montpellier","Standard/Unranked/Unknown"
"6296","French Institute of Health and Medical Research (INSERM)","Standard/Unranked/Unknown"
"6297","Icell Kealex Therapeutics","Standard/Unranked/Unknown"
"6298","Loma Linda University School of Medicine","Standard/Unranked/Unknown"
"6299","Icahn Institute of Genomics and Multiscale Biology","Standard/Unranked/Unknown"
"6300","Buck Institute","Standard/Unranked/Unknown"
"6301","Deutsches Zentrum fuer Neurodegenerative Erkrankungen (DZNE)","Standard/Unranked/Unknown"
"6302","Universityclinic Heidelberg","Standard/Unranked/Unknown"
"6303","CRUK Manchester Institute","Standard/Unranked/Unknown"
"6304","School of public health, ,Shanghai jiaotong university School of Medicine","Standard/Unranked/Unknown"
"6305","Xinjiang Institute of Ecology and Geography, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"6306","Singapore-Massachusetts Institute of Technology Alliance for Research and Technology","Standard/Unranked/Unknown"
"6307","Institute for Integrated Cell-Material Sciences","Standard/Unranked/Unknown"
"6308","Christian Medical College and Hospital","Standard/Unranked/Unknown"
"6309","Universidad Nacional de Tucumán","Standard/Unranked/Unknown"
"6310","University Hospital Schleswig-Holstein","Standard/Unranked/Unknown"
"6311","Institute of Disease Control and Prevention","Standard/Unranked/Unknown"
"6312","MOE Key Laboratory of Laser Life Science & Institute of Laser Life Science","Standard/Unranked/Unknown"
"6313","Ludwig-Maximilians University.","Standard/Unranked/Unknown"
"6314","Chicago College of Osteopathic Medicine, Midwestern University","Standard/Unranked/Unknown"
"6315","The Second Affiliated Hospital of Guangzhou Medical University","Standard/Unranked/Unknown"
"6316","Sardar Vallabhbhai Patel University of Agriculture & Technology, Meerut-250110, U.P., India.","Standard/Unranked/Unknown"
"6317","Department of Medical Laboratory Science and Biotechnology","Standard/Unranked/Unknown"
"6318","Spanish National Center for Biotechnology (CNB-CSIC)","Standard/Unranked/Unknown"
"6319","National Center For Global Health and Medicine","Standard/Unranked/Unknown"
"6320","School of Medicine of Ribeirão Preto/University of São Paulo","Standard/Unranked/Unknown"
"6321","University of Lyon - INSERM - CNRS","Standard/Unranked/Unknown"
"6322","Massachusetts General Hospital/Harvard Medical School","Standard/Unranked/Unknown"
"6323","National Jewish Health","Standard/Unranked/Unknown"
"6324","IBMB, CSIC","Standard/Unranked/Unknown"
"6325","Institut Pasteur de la Guyane","Standard/Unranked/Unknown"
"6326","National Institutes on Alcohol Abuse and Alcoholism","Standard/Unranked/Unknown"
"6327","IBM Research, Almaden","Standard/Unranked/Unknown"
"6328","Montreal Neurological Institute and Hospital","Standard/Unranked/Unknown"
"6329","Universität des Saarlandes","Standard/Unranked/Unknown"
"6330","Singapore Eye Research Institute","Standard/Unranked/Unknown"
"6331","University Hospital and University of Geneva","Standard/Unranked/Unknown"
"6332","Indian Association for the Cultivation of Science","Standard/Unranked/Unknown"
"6333","INRIA Lille - Nord Europe","Standard/Unranked/Unknown"
"6334","Institute Curie","Standard/Unranked/Unknown"
"6335","Vall de Hebron Institut de Recerca","Standard/Unranked/Unknown"
"6336","INRA-Bordeaux University","Standard/Unranked/Unknown"
"6337","Beth Israel Deaconess Medical Center and Harvard Medical School","Standard/Unranked/Unknown"
"6338","CNRS - UPMC","Standard/Unranked/Unknown"
"6339","Schepens Eye Research Institute, Massachusetts Eye and Ear, Harvard Medical School","Standard/Unranked/Unknown"
"6340","Leibniz Institute for Neurobiology / University of Magdeburg","Standard/Unranked/Unknown"
"6341","Univ Buenos Aires","Standard/Unranked/Unknown"
"6342","CSIR-National Botanical Research Institute","Standard/Unranked/Unknown"
"6343","B & Y Technologies","Standard/Unranked/Unknown"
"6344","The Shanghai Tenth People's Hospital of Tongji University","Standard/Unranked/Unknown"
"6345","Universität Bern","Standard/Unranked/Unknown"
"6346","IMT School for Advanced Studies","Standard/Unranked/Unknown"
"6347","Georgia Cancer Center, Augusta University","Standard/Unranked/Unknown"
"6348","The Sloan Kettering Institute","Standard/Unranked/Unknown"
"6349","Centro Interdisciplinario de Neurociencias de Valparaíso","Standard/Unranked/Unknown"
"6350","Institute of pathogen biology at Peking union medical college","Standard/Unranked/Unknown"
"6351","Institute of Physiolgy CAS","Standard/Unranked/Unknown"
"6352","Marshfield Clinic","Standard/Unranked/Unknown"
"6353","Centre de Recherche en Biologie cellulaire de Montpellier","Standard/Unranked/Unknown"
"6354","F. Hoffmann-La Roche","Standard/Unranked/Unknown"
"6355","MTA Wigner Research Centre for Physics","Standard/Unranked/Unknown"
"6356","Fundación Investigación Hospital Clínico. Instituto Investigación Sanitaria-INCLIVA","Standard/Unranked/Unknown"
"6357","Laboratory of Neuropharmacology, Department of Experimental and Health Sciences, University Pompeu Fabra. Barcelona, Spain","Standard/Unranked/Unknown"
"6358","Merck and Co., Inc.","Standard/Unranked/Unknown"
"6359","The European Molecular Biology Lab","Standard/Unranked/Unknown"
"6360","Utrecht Institute for Pharmaceutical Sciences","Standard/Unranked/Unknown"
"6361","Kwame Nkrumah University of Science and Technology","Standard/Unranked/Unknown"
"6362","VLP Therapeutics","Standard/Unranked/Unknown"
"6363","Universite de Montpellier","Standard/Unranked/Unknown"
"6364","German Cetner for Neurodegenerative Diseases","Standard/Unranked/Unknown"
"6365","Institute of Life Sciences","Standard/Unranked/Unknown"
"6366","D'Or Institute for Research and Education (IDOR)","Standard/Unranked/Unknown"
"6367","Faculty of Medicine, University of Toronto","Standard/Unranked/Unknown"
"6368","MedImmune,","Standard/Unranked/Unknown"
"6369","Malawi-Liverpool-Wellcome Trust Clinical Research Programme","Standard/Unranked/Unknown"
"6370","Academy of Military Medical Sciences","Standard/Unranked/Unknown"
"6371","Centro Nacional de Pesquisa em Energia e Materiais","Standard/Unranked/Unknown"
"6372","Rotman Research Institute Baycrest","Standard/Unranked/Unknown"
"6373","Aab Cardiovascular Research Institute, University of Rochester","Standard/Unranked/Unknown"
"6374","Gradulate School of Medicine, Kanazawa University","Standard/Unranked/Unknown"
"6375","""G. d'Annunzio"" University of Chieti-Pescara","Standard/Unranked/Unknown"
"6376","Peking Union Medical College Hospital","Standard/Unranked/Unknown"
"6377","Uinversity of Turin","Standard/Unranked/Unknown"
"6378","CSIR- Institute of Genomics and Integrative Biology","Standard/Unranked/Unknown"
"6379","UMPC UMCR18, Inserm U1024, CNRS UMR 8197","Standard/Unranked/Unknown"
"6380","Department of Medical Biosciences","Standard/Unranked/Unknown"
"6381","Friedrich Miescher Institute","Standard/Unranked/Unknown"
"6382","University La Sapienza","Standard/Unranked/Unknown"
"6383","CeeD","Standard/Unranked/Unknown"
"6384","EMC Laboratory","Standard/Unranked/Unknown"
"6385","Institut für Biophysikalische Chemie","Standard/Unranked/Unknown"
"6386","St. Mauritius Therapieklinik","Standard/Unranked/Unknown"
"6387","Museum für Naturkunde Berlin","Standard/Unranked/Unknown"
"6388","The Research Institute at the Nationwide Children's Hospital and the Ohio State University","Standard/Unranked/Unknown"
"6389","Museum für Naturkunde","Standard/Unranked/Unknown"
"6390","School of Stomatology, Shandong University","Standard/Unranked/Unknown"
"6391","Universidad de La Laguna (ULL)","Standard/Unranked/Unknown"
"6392","University Potsdam, Institut for Biochemistry and Biology","Standard/Unranked/Unknown"
"6393","Dr. Harisingh Gour Central University,","Standard/Unranked/Unknown"
"6394","Center for Forensic Mental Health, Chiba University","Standard/Unranked/Unknown"
"6395","Federation University","Standard/Unranked/Unknown"
"6396","CDC","Standard/Unranked/Unknown"
"6397","International Peace Maternity & Child Health Hospital","Standard/Unranked/Unknown"
"6398","Medical College of Georgia (Augusta University)","Standard/Unranked/Unknown"
"6399","University Hospital Jena, Germany","Standard/Unranked/Unknown"
"6400","University of Zagreb Faculty of Pharmacy and Biochemistry","Standard/Unranked/Unknown"
"6401","International Institute for Integrative Sleep Medicine (WPI-IIIS), University of Tsukuba","Standard/Unranked/Unknown"
"6402","UMR1011","Standard/Unranked/Unknown"
"6403","Institut D'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","Standard/Unranked/Unknown"
"6404","F. Hoffman-La Roche","Standard/Unranked/Unknown"
"6405","Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures","Standard/Unranked/Unknown"
"6406","MRC Cognition and Brain Sciences Unit, University of Cambridge","Standard/Unranked/Unknown"
"6407","St Mary's University","Standard/Unranked/Unknown"
"6408","Instituto Cajal CSIC","Standard/Unranked/Unknown"
"6409","Hoffman-LaRoche","Standard/Unranked/Unknown"
"6410","University of Bonn Medical Centre","Standard/Unranked/Unknown"
"6411","University Goettingen, Abteilung fuer Entwicklungsbiologie, GZMB, Justus-von-Liebig-Weg 11","Standard/Unranked/Unknown"
"6412","Centre de Recherche en Cancérologie de Marseille (CRCM)","Standard/Unranked/Unknown"
"6413","INSERM and Sorbonne Universities, UPMC","Standard/Unranked/Unknown"
"6414","NIH/NIAID","Standard/Unranked/Unknown"
"6415","Eidgenössische Technische Hochschule","Standard/Unranked/Unknown"
"6416","Nectagen, Inc.","Standard/Unranked/Unknown"
"6417","Aichi Human Service Center","Standard/Unranked/Unknown"
"6418","Deutsches Zentrum für Neurodegenerative Erkrankungen","Standard/Unranked/Unknown"
"6419","University Medical Center of the Johannes Gutenberg University","Standard/Unranked/Unknown"
"6420","Macau Institute for Applied Research in Medicine and Health","Standard/Unranked/Unknown"
"6421","German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig","Standard/Unranked/Unknown"
"6422","CNRS UMR8197 - INSERM U1024","Standard/Unranked/Unknown"
"6423","INIMEC-CONICET","Standard/Unranked/Unknown"
"6424","The John B. Pierce Laboratory/Yale Medical School","Standard/Unranked/Unknown"
"6425","College of Life Science","Standard/Unranked/Unknown"
"6426","Weill Cornell Medicine - Qatar","Standard/Unranked/Unknown"
"6427","Leibniz Institute for Molecular Pharmacology","Standard/Unranked/Unknown"
"6428","Université Toulouse III CNRS","Standard/Unranked/Unknown"
"6429","Mossakowski Medical Research Centre Polish Academy of Sciences","Standard/Unranked/Unknown"
"6430","Institute of Genetics and Animal Breeding PAS","Standard/Unranked/Unknown"
"6431","Veterinary University of Vienna","Standard/Unranked/Unknown"
"6432","INSEP","Standard/Unranked/Unknown"
"6433","McGill University, Neuroscience","Standard/Unranked/Unknown"
"6434","German Rheumatism Research Center","Standard/Unranked/Unknown"
"6435","IS Global","Standard/Unranked/Unknown"
"6436","Biological Research Center","Standard/Unranked/Unknown"
"6437","Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health","Standard/Unranked/Unknown"
"6438","Institut de Biologie Integrative de la Cellule CNRS","Standard/Unranked/Unknown"
"6439","Universities of Ferrara","Standard/Unranked/Unknown"
"6440","Centre de Recerca Matemàtica","Standard/Unranked/Unknown"
"6441","Centre de recherche du CHU Sainte-Justine","Standard/Unranked/Unknown"
"6442","International Peace Maternity and Child Health Hospital,School of Medicine","Standard/Unranked/Unknown"
"6443","Centre des Sciences du Goût et de l'Alimentation (CNRS)","Standard/Unranked/Unknown"
"6444","Australian Regenerative Medicine Institute","Standard/Unranked/Unknown"
"6445","Institute of Oceanology, Chinese Academy of Sciences","Standard/Unranked/Unknown"
"6446","Institute of Organic Chemistry and Biochemistry AS CR","Standard/Unranked/Unknown"
"6447","Friedrich Alexander University Erlangen-Nürnberg","Standard/Unranked/Unknown"
"6448","Inserm UMR 1048","Standard/Unranked/Unknown"
"6449","University Clinic Carl Gustav Carus Dresden","Standard/Unranked/Unknown"
"6450","Jules-Gonin Eye Hospital, Fondation Asile des Aveugles","Standard/Unranked/Unknown"
"6451","Chinese Academy of Medical Sciences & Peking Union Medical College","Standard/Unranked/Unknown"
"6452","Institute of Neuroinformatics","Standard/Unranked/Unknown"
"6453","Tsumura & Co.","Standard/Unranked/Unknown"
"6454","NIH/NIDDK","Standard/Unranked/Unknown"
"6455","Universidad Nacional de San Martin","Standard/Unranked/Unknown"
"6456","Neuro-PSI","Standard/Unranked/Unknown"
"6457","Israel Oceanographic and Limnological Research, National Institute of Oceanography","Standard/Unranked/Unknown"
"6458","Université Paris Descartes - CNRS","Standard/Unranked/Unknown"
"6459","Telethon Institute of Genetics and Medicine (TIGEM)","Standard/Unranked/Unknown"
"6460","Universite Paris Descartes - CNRS","Standard/Unranked/Unknown"
"6461","CNPEM","Standard/Unranked/Unknown"
"6462","CSIR-National Chemical Laboratory","Standard/Unranked/Unknown"
"6463","Eidgenossische Technische Hochschule Zürich (ETHZ)","Standard/Unranked/Unknown"
"6464","Grenoble Institute of Neurosciences","Standard/Unranked/Unknown"
"6465","Ernst-Moritz-Arndt-Universität Greifswald","Standard/Unranked/Unknown"
"6466","Parc Sanitari Sant Joan de Déu","Standard/Unranked/Unknown"
"6467","Institute of Bioorganic Chemistry, Russian Academy of Sciences","Standard/Unranked/Unknown"
"6468","Lviv National Medical University","Standard/Unranked/Unknown"
"6469","German Institute of Human Nutrition Potsdam-Rehbruecke","Standard/Unranked/Unknown"
"6470","Institute for Information Transmission Problems (Kharkevich Institute)","Standard/Unranked/Unknown"
"6471","CNRS UMR 7213, Université de Strasbourg","Standard/Unranked/Unknown"
"6472","Ludwig Institute for Cancer Research, San Diego Branch","Standard/Unranked/Unknown"
"6473","CREAF-CSIC","Standard/Unranked/Unknown"
"6474","Ana Pedro Laboratories, Ltd","Standard/Unranked/Unknown"
"6475","Palladin Institute of Biochemistry","Standard/Unranked/Unknown"
"6476","WCMC","Standard/Unranked/Unknown"
"6477","Medical School Goettingen","Standard/Unranked/Unknown"
"6478","i3S - Instituto de Investigação e Inovação em Saúde, Universidade do Porto","Standard/Unranked/Unknown"
"6479","Philipps-University of Marburg","Standard/Unranked/Unknown"
"6480","Ludwig-Maximilians-Universitaet-Muenchen","Standard/Unranked/Unknown"
"6481","Escola Paulista de Medicina, Universidade Federal de Sao Paulo","Standard/Unranked/Unknown"
"6482","the First Affiliated Hospital of China Medical University","Standard/Unranked/Unknown"
"6483","First Affiliated Hospital of Xinjiang Medical University","Standard/Unranked/Unknown"
"6484","IBPS-UMR7622-CNRS-UPMC","Standard/Unranked/Unknown"
"6485","Life Sciences Institute","Standard/Unranked/Unknown"
"6486","Affiliated Drum Tower Hospital of Nanjing University Medical School","Standard/Unranked/Unknown"
"6487","School of Life Sciences, Beijing Normal University","Standard/Unranked/Unknown"
"6488","Universidade Federal de Minas Gerais","Standard/Unranked/Unknown"
"6489","Aratome, LLC.","Standard/Unranked/Unknown"
"6490","Research Institute, National Rehabilitation Center for Persons with Disabilities","Standard/Unranked/Unknown"
"6491","Health Research Institute of Santiago de Compostela (IDIS)","Standard/Unranked/Unknown"
"6492","CREEC/MIVEGEC UMR 5290 CNRS-IRD-UM","Standard/Unranked/Unknown"
"6493","University of Exeter Medical School","Standard/Unranked/Unknown"
"6494","Rhode Island Hospital","Standard/Unranked/Unknown"
"6495","Factuly of Medicine, Tel Aviv University","Standard/Unranked/Unknown"
"6496","Centre de Recherche en Cancérologie de Lyon (CRCL)","Standard/Unranked/Unknown"
"6497","Forschungszentrum Juelich","Standard/Unranked/Unknown"
"6498","Guangdong Medical University","Standard/Unranked/Unknown"
"6499","Eco-environmental Protection Research Institute, Shanghai Academy of Agricultural Sciences, Shanghai Key Laboratory of Protected Horticultural Technology, Shanghai 201403, China","Standard/Unranked/Unknown"
"6500","BETA BIOSYSTEM","Standard/Unranked/Unknown"
"6501","Gedeon Richter Plc.","Standard/Unranked/Unknown"
"6502","Dr. Margarete Fischer-Bosch - Institut für Klinische Pharmakologie","Standard/Unranked/Unknown"
"6503","Graduate School of Agriculture, Hokkaido University","Standard/Unranked/Unknown"
"6504","Institute of Biomedical & Health Sciences, Hiroshima University","Standard/Unranked/Unknown"
"6505","Institute of Microbiology","Standard/Unranked/Unknown"
"6506","TropIQ Health Sciences","Standard/Unranked/Unknown"
"6507","Paul-Ehrlich-Institut","Standard/Unranked/Unknown"
"6508","Kings London","Standard/Unranked/Unknown"
"6509","NHLBI, NIH","Standard/Unranked/Unknown"
"6510","Universidad Complutense de Madrid","Standard/Unranked/Unknown"
"6511","Nippi","Standard/Unranked/Unknown"
"6512","East Hospital, Tongji University School of Medicine","Standard/Unranked/Unknown"
"6513","Instituto de Investigación en Biomedicina de Buenos Aires (IBioBA) - CONICET - Partner Institute of the Max Planck Society","Standard/Unranked/Unknown"
"6514","NISER","Standard/Unranked/Unknown"
"6515","Université de Monréal","Standard/Unranked/Unknown"
"6516","U Colo Med Sch","Standard/Unranked/Unknown"
"6517","Université de Lyon/St-Etienne","Standard/Unranked/Unknown"
"6518","Krembil Research Institute - Toronto Western Hospital","Standard/Unranked/Unknown"
"6519","University of Düsseldorf","Standard/Unranked/Unknown"
"6520","Daegu Haany University","Standard/Unranked/Unknown"
"6521","Politecnico di Torino","Standard/Unranked/Unknown"
"6522","Institut Curie, UMR168, CNRS, PSL, UPMC, Paris","Standard/Unranked/Unknown"
"6523","Institute of Psychological Medicine and Clinical Neurosciences, Cardiff University School of Medicine, Cardiff, UK","Standard/Unranked/Unknown"
"6524","Affiliated Hospital of Nanjing University of Chinese Medicine","Standard/Unranked/Unknown"
"6525","University Hospital Erlangen, Friedrich-Alexander University Erlangen-Nürnberg","Standard/Unranked/Unknown"
"6526","1Apoptosis, Cancer and Development Laboratory - Equipe labellisée 'La Ligue', LabEx DEVweCAN,","Standard/Unranked/Unknown"
"6527","Cytogenetics Institute, State Key Lab of Crop Genetics and Germplasm Enhancement","Standard/Unranked/Unknown"
"6528","Institut de Biologie Moleculaire et Cellulaire-CNRS","Standard/Unranked/Unknown"
"6529","MRC/CSO Institute of Hearing Research","Standard/Unranked/Unknown"
"6530","NYSPI/ Columbia University","Standard/Unranked/Unknown"
"6531","Shanghai Cancer Institute, Ren Ji Hospital, School of Medicine, Shanghai Jiao Tong University","Standard/Unranked/Unknown"
"6532","Institute of Biology, Otto-von-Guericke-University, Magdeburg","Standard/Unranked/Unknown"
"6533","CHU Ste-Justine, Université de Montréal","Standard/Unranked/Unknown"
"6534","BioChron LLC","Standard/Unranked/Unknown"
"6535","John Innes Center","Standard/Unranked/Unknown"
"6536","Laboratoire CarMeN, INSERM UMR1060","Standard/Unranked/Unknown"
"6537","University Pierre et Marie Curie","Standard/Unranked/Unknown"
"6538","The Scripps Research Institute-Florida","Standard/Unranked/Unknown"
"6539","SUNY Upstate Medical Univ.","Standard/Unranked/Unknown"
"6540","CSIR- Institute of Microbial Technology","Standard/Unranked/Unknown"
"6541","Capital Institute of Pediatrics","Standard/Unranked/Unknown"
"6542","National Institute on Aging Intramural Research Program","Standard/Unranked/Unknown"
"6543","French Institute of Health and Medical Research, Inserm","Standard/Unranked/Unknown"
"6544","UMG","Standard/Unranked/Unknown"
